coursecode	section_id	searchable_id1	searchable_id2	searchable_id3	reading_list_code	readin_list_name	reading_list_descripotion	reading_list_subject	reading_list_status	RLStatus	visibility	reading_list_assigned_to	reading_list_library_note	reading_list_instructor_note	owner_user_name	creativecomone	section_name	section_description	section_start_date	section_end_date	section_tags	citation_secondary_type	citation_status	citation_tags	citation_mms_id	citation_original_system_id	citation_title	citation_journal_title	citation_author	citation_publication_date	citation_edition	citation_isbn	citation_issn	citation_place_of_publication	citation_publisher	citation_volume	citation_issue	citation_pages	citation_start_page	citation_end_page	citation_doi	citation_oclc	citation_lccn	citation_chapter	rlterms_chapter_title	citation_chapter_author	editor	citation_source	citation_source1	citation_source2	citation_source3	citation_source4	citation_source5	citation_source6	citation_source7	citation_source8	citation_source9	citation_source10	citation_note	additional_person_name	file_name	citation_public_note	license_type	citation_instructor_note	citation_library_note	external_system_id
2238-82079	01				Fa23-JS-0025-01-Holocaust Stage & Screen	Fa23-JS-0025-01-Holocaust Stage & Screen			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022778103851		"""War and genocide : a concise history of the Holocaust /"""					9781442242289																																		
2238-81948	01				Fa23-TPS-0025-01-Holocaust Stage & Screen	Fa23-TPS-0025-01-Holocaust Stage & Screen			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022778103851		"""War and genocide : a concise history of the Holocaust /"""					9781442242289																																		
2238-82080	01				Fa23-TPS-0125-01-Holocaust Stage & Screen	Fa23-TPS-0125-01-Holocaust Stage & Screen			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022778103851		"""War and genocide : a concise history of the Holocaust /"""					9781442242289																																		
2238-82405	A				Fa23-FR-0145-A-Studies In Frn Culture	Fa23-FR-0145-A-Studies In Frn Culture			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022776003851		"""Les Français /"""					9781585109906																																		
2238-80781	01				Fa23-HIST-0009-01-Hist of Christianity 1	Fa23-HIST-0009-01-Hist of Christianity 1			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025577803851		"""History of the world Christian movement."""					9781570753961																																		
2238-81300	01				Fa23-REL-0063-01-Hist of Christianity 1	Fa23-REL-0063-01-Hist of Christianity 1			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025577803851		"""History of the world Christian movement."""					9781570753961																																		
2238-83908	01				Fa23-HIST-0086-01-Special Topics: Europe	Fa23-HIST-0086-01-Special Topics: Europe			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025577403851		"""Everyday life in the early English Caribbean : Irish Africans and the construction of difference /"""					9780820346625																																		
2238-83910	01				Fa23-HIST-0093-01-Found Sem:north America	Fa23-HIST-0093-01-Found Sem:north America			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575003851		"""Wait till next year : a memoir /"""					9780684847955																																		
2238-83910	01				Fa23-HIST-0093-01-Found Sem:north America	Fa23-HIST-0093-01-Found Sem:north America			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025574003851		"""How I became Hettie Jones /"""					9780802134967																																		
2238-83915	01				Fa23-HIST-0138-01-CONFUCIANISM: China/World	Fa23-HIST-0138-01-CONFUCIANISM: China/World			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025573403851		"""Confucius analects : with selection from traditional commentaries /"""					9780872206359																																		
2238-83917	01				Fa23-HIST-0155-01-Gen/Sexuality-Middle Ages/Ren	Fa23-HIST-0155-01-Gen/Sexuality-Middle Ages/Ren			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025576903851		"""The shape of sex : nonbinary gender from Genesis to the Renaissance /"""					9780231195515																																		
